x,30degC,100degC
2.13559e-06,3.11935,1.21935
2.44068e-06,3.08581,1.35247
2.74576e-06,3.04274,1.48559
2.79661e-06,3.03556,1.51556
3e-06,3.01875,1.63542
3.20339e-06,3.00194,1.74194
3.25424e-06,2.99774,1.76857
3.50847e-06,2.97673,1.9184
3.61017e-06,2.96833,1.99333
3.71186e-06,2.96111,2.06826
3.9661e-06,2.94308,2.21808
4.22034e-06,2.92505,2.3679
4.32203e-06,2.91783,2.44283
4.42373e-06,2.90796,2.51776
4.62712e-06,2.88821,2.66762
4.83051e-06,2.86846,2.81748
5.0339e-06,2.84871,3.00067
5.18644e-06,2.8339,3.11306
5.23729e-06,2.8291,3.15053
5.38983e-06,2.81471,3.31709
5.54237e-06,2.80032,3.42948
5.59322e-06,2.79695,3.46695
5.74576e-06,2.78684,3.61684
5.94915e-06,2.77337,3.78337
6.05085e-06,2.76663,3.8833
6.10169e-06,2.76104,3.93326
6.30508e-06,2.73868,4.08312
6.40678e-06,2.7275,4.24972
6.55932e-06,2.71072,4.41628
6.71186e-06,2.69395,4.56617
6.81356e-06,2.68277,4.67721
6.86441e-06,2.67607,4.73273
7.01695e-06,2.65596,4.89929
7.0678e-06,2.64926,4.94926
7.16949e-06,2.6353,5.04919
7.32203e-06,2.61436,5.19908
7.52542e-06,2.58644,5.36561
7.67797e-06,2.5655,5.5155
7.77966e-06,2.54876,5.6821
7.9322e-06,2.52366,5.84866
7.98305e-06,2.51529,5.89862
8.08475e-06,2.49577,5.99855
8.23729e-06,2.4665,6.16511
8.28814e-06,2.45674,6.24841
8.44068e-06,2.42747,6.31497
8.49153e-06,2.41771,6.3816
8.59322e-06,2.3982,6.43709
8.64407e-06,2.38427,6.46483
8.84746e-06,2.32858,6.61469
8.89831e-06,2.31465,6.66465
9e-06,2.28681,6.76458
9.20339e-06,2.23111,6.93111
9.30508e-06,2.18104,6.9477
9.40678e-06,2.13097,6.9143
9.50847e-06,2.01423,6.84756
9.61017e-06,2.00305,6.69749
9.76271e-06,1.98628,6.53072
9.81356e-06,1.98069,6.44735
9.86441e-06,1.99732,6.36398
9.91525e-06,2.01395,6.28061
9.9661e-06,1.99725,6.19725
1.00169e-05,1.98054,6.03054
1.01695e-05,1.9668,6.0971
1.02203e-05,1.96222,6.14707
1.04237e-05,1.9439,6.03026
1.05763e-05,1.93016,5.88016
1.07288e-05,1.93005,5.84672
1.07797e-05,1.93001,5.85224
1.08814e-05,1.89661,5.86328
1.10339e-05,1.84025,5.87984
1.12881e-05,1.74633,5.96299
1.13898e-05,1.67959,5.99626
1.14915e-05,1.61285,6.04619
1.16949e-05,1.47938,6.14605
1.17458e-05,1.44601,6.17268
1.18475e-05,1.34594,6.22594
1.19492e-05,1.22365,6.2792
1.2e-05,1.1625,6.30917
1.21525e-05,1.02906,6.39906
1.22034e-05,1.00125,6.42903
1.23051e-05,0.945621,6.48229
1.24576e-05,0.915516,6.56218
1.25593e-05,0.895445,6.62211
1.27119e-05,0.937006,6.71201
1.28644e-05,0.978566,6.8019
1.29661e-05,1.03405,6.86183
