x,k06,k13
3.41541e-07,1.44393,0.928804
3.42121e-07,1.43807,0.933948
3.51121e-07,1.34701,1.01382
3.57635e-07,1.28111,1.03592
3.60177e-07,1.24284,1.04455
3.66991e-07,1.14022,1.04762
3.73834e-07,1.03719,1.02611
3.78446e-07,0.967742,0.985993
3.83016e-07,0.906237,0.946237
3.96861e-07,0.719888,0.761905
3.99218e-07,0.688172,0.734789
4.15284e-07,0.549585,0.549923
4.19875e-07,0.509985,0.505427
4.24476e-07,0.481421,0.460829
4.38176e-07,0.396378,0.40553
4.38186e-07,0.396313,0.405488
4.56445e-07,0.328725,0.331783
4.58724e-07,0.322581,0.322581
4.74682e-07,0.27957,0.264273
4.747e-07,0.279542,0.264209
4.97451e-07,0.242704,0.221244
4.97476e-07,0.242675,0.221198
5.13409e-07,0.223854,0.199693
5.15658e-07,0.221198,0.197416
5.31612e-07,0.207732,0.18126
5.33857e-07,0.205837,0.180047
5.54353e-07,0.197529,0.168971
5.56595e-07,0.196621,0.168365
5.72507e-07,0.193548,0.164064
5.77088e-07,0.192775,0.162826
5.90693e-07,0.190476,0.161155
6.02091e-07,0.190476,0.159754
6.11147e-07,0.190476,0.159754
6.22546e-07,0.190476,0.159754
6.29329e-07,0.190476,0.159754
6.49784e-07,0.190476,0.159754
6.52091e-07,0.191517,0.159754
6.63413e-07,0.196621,0.162816
6.74811e-07,0.198022,0.165899
6.88409e-07,0.199693,0.169143
7.13437e-07,0.207503,0.175115
7.17944e-07,0.208909,0.176334
7.45207e-07,0.218126,0.183707
7.47518e-07,0.218847,0.184332
7.74742e-07,0.227343,0.193535
7.7478e-07,0.227351,0.193548
8.02007e-07,0.233487,0.204878
8.04312e-07,0.234206,0.205837
8.31542e-07,0.242704,0.218113
8.3157e-07,0.242713,0.218126
8.54294e-07,0.250395,0.221198
8.58805e-07,0.25192,0.223486
8.72465e-07,0.254762,0.230415
8.88343e-07,0.258065,0.234318
8.97458e-07,0.260706,0.236559
9.13361e-07,0.265314,0.242704
9.20151e-07,0.267281,0.244671
9.45147e-07,0.270353,0.251914
9.45168e-07,0.270358,0.25192
9.74686e-07,0.276498,0.261131
9.74703e-07,0.2765,0.261137
1.00423e-06,0.27957,0.27035
1.00424e-06,0.279571,0.270353
1.04059e-06,0.282642,0.276497
1.04059e-06,0.282642,0.276498
1.07922e-06,0.282642,0.27957
1.07923e-06,0.282642,0.27957
1.11786e-06,0.282642,0.27957
1.12014e-06,0.282461,0.27957
1.1565e-06,0.27957,0.27957
1.15877e-06,0.27957,0.27957
1.19514e-06,0.27957,0.27957
1.23151e-06,0.273425,0.276678
1.23378e-06,0.273085,0.276498
1.27242e-06,0.267282,0.273425
1.27242e-06,0.267281,0.273425
1.30879e-06,0.261137,0.270838
1.3156e-06,0.260626,0.270353
1.34515e-06,0.258407,0.270353
1.34971e-06,0.258065,0.269793
1.37015e-06,0.254117,0.267281
1.39515e-06,0.24929,0.264209
1.39744e-06,0.248848,0.263928
1.42016e-06,0.244001,0.261137
1.44064e-06,0.239631,0.258369
1.44289e-06,0.239367,0.258065
1.48608e-06,0.234291,0.25192
1.49292e-06,0.233487,0.2506
1.5179e-06,0.228422,0.245776
1.53609e-06,0.224735,0.242704
1.53838e-06,0.22427,0.242445
1.56336e-06,0.219206,0.239631
1.58385e-06,0.215054,0.236863
1.58609e-06,0.214764,0.236559
1.6111e-06,0.211546,0.233487
1.63156e-06,0.208913,0.230415
1.63158e-06,0.208909,0.230412
1.65883e-06,0.205401,0.227343
1.67932e-06,0.202765,0.224574
1.68156e-06,0.202298,0.22427
1.71339e-06,0.195681,0.218126
1.73612e-06,0.190955,0.218126
1.73842e-06,0.190476,0.217904
1.76794e-06,0.185873,0.215054
1.79522e-06,0.181619,0.208909
1.79752e-06,0.18126,0.208687
1.82704e-06,0.176273,0.205837
1.85204e-06,0.172049,0.202765
1.85208e-06,0.172043,0.202761
1.88159e-06,0.165661,0.199693
1.90659e-06,0.160255,0.196621
1.90891e-06,0.159754,0.196412
1.94069e-06,0.15645,0.193548
1.96801e-06,0.15361,0.190708
1.97024e-06,0.153107,0.190476
1.99524e-06,0.147476,0.187404
1.99529e-06,0.147465,0.187398
