x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
0.760687,0.278907,0.278907,11.1059,12.4273,11.1059,8.82698,8.41036,9.04453,8.96438
0.765181,0.299836,0.299836,10.6373,11.9483,10.719,8.58432,8.15989,8.69601,8.30955
0.76737,0.310027,0.310027,10.4091,11.7151,10.5306,8.46616,8.03793,8.5263,7.99069
0.769676,0.320765,0.320765,10.1687,11.4694,10.3321,8.34166,7.90943,8.34748,7.65473
0.769789,0.321292,0.321292,10.1608,11.4573,10.3223,8.33555,7.90312,8.33871,7.63824
0.774292,0.34226,0.34226,9.84734,10.9774,9.9347,8.09244,7.65218,7.98953,6.98219
0.776407,0.352109,0.352109,9.70009,10.752,9.75261,7.97824,7.53431,7.82551,6.86616
0.77865,0.362554,0.362554,9.2807,10.513,9.55951,7.85714,7.40931,7.65157,6.74311
0.778663,0.362613,0.362613,9.27835,10.5116,9.55846,7.85646,7.40861,7.6506,6.74242
0.780969,0.37335,0.37335,9.03793,10.2659,9.36595,7.73196,7.2801,7.47179,6.61591
0.783157,0.383541,0.383541,8.80975,10.0327,9.18323,7.6138,7.15814,7.30208,6.49585
0.785469,0.394308,0.394308,8.56867,9.78626,8.99019,7.48896,7.02929,7.12277,6.36901
0.785474,0.394328,0.394328,8.56823,9.78582,8.98984,7.48873,7.02905,7.12245,6.36878
0.787597,0.404216,0.404216,8.34683,9.55951,8.81255,7.37408,6.91071,6.95778,6.25228
0.787652,0.40447,0.40447,8.34114,9.55515,8.808,7.37114,6.90768,6.95355,6.24929
0.79223,0.425789,0.425789,8.02242,9.18879,8.42576,7.12395,6.65254,6.59853,5.99813
0.794383,0.435814,0.435814,7.87254,9.01651,8.24602,7.00772,6.53256,6.43158,5.89311
0.796611,0.446191,0.446191,7.73951,8.83819,8.05998,6.88741,6.40838,6.25878,5.78442
0.798928,0.456978,0.456978,7.60123,8.65283,7.88586,6.76234,6.27929,6.07915,5.67143
0.801066,0.466934,0.466934,7.47358,8.48172,7.72514,6.6469,6.20847,5.91335,5.56714
0.801181,0.467471,0.467471,7.4667,8.4745,7.71647,6.64067,6.20465,5.9044,5.56151
0.801424,0.468604,0.468604,7.45218,8.45926,7.69819,6.62754,6.19659,5.89898,5.54965
0.80568,0.48842,0.48842,7.19814,8.19255,7.37832,6.39779,6.05564,5.80397,5.34208
0.807833,0.498445,0.498445,7.06961,8.05762,7.21649,6.28155,5.98433,5.75591,5.30667
0.807875,0.49864,0.49864,7.06711,8.05499,7.2149,6.27929,5.98295,5.75498,5.30598
0.810082,0.508919,0.508919,6.93533,7.91664,7.13096,6.22469,5.90983,5.7057,5.26967
0.816767,0.540048,0.540048,6.76252,7.49766,6.87675,6.05936,5.68841,5.55645,5.15971
0.821551,0.562324,0.562324,6.63887,7.35208,6.69484,5.94105,5.52996,5.44966,5.08102
0.825808,0.580167,0.580167,6.52881,7.22252,6.53294,5.83575,5.38894,5.35461,5.01099
0.832479,0.608122,0.608122,6.35638,7.01952,6.27929,5.67078,5.35013,5.2057,4.90127
0.832506,0.608236,0.608236,6.35568,7.01869,6.27888,5.6701,5.34997,5.20509,4.90082
0.834766,0.617706,0.617706,6.29726,6.94993,6.24509,5.65868,5.33683,5.15464,4.86365
0.837017,0.627142,0.627142,6.23906,6.88141,6.21142,5.6473,5.32373,5.14206,4.82662
0.841405,0.645529,0.645529,6.12564,6.74789,6.1458,5.62511,5.2982,5.11756,4.82178
0.843914,0.656045,0.656045,6.06078,6.7012,6.10828,5.61243,5.2836,5.10354,4.81901
0.848147,0.685611,0.685611,5.95137,6.62245,6.04499,5.59103,5.25898,5.0799,4.81435
0.848151,0.68564,0.68564,5.95127,6.62237,6.04492,5.59101,5.25895,5.07988,4.81434
0.861552,0.779258,0.779258,5.81095,6.37301,5.83449,5.52325,5.18098,5.00503,4.79956
0.864039,0.796626,0.796626,5.78492,6.33933,5.79546,5.51068,5.16652,4.99114,4.79682
0.866053,0.815392,0.815392,5.76382,6.31203,5.76382,5.5005,5.1548,4.97989,4.7946
0.86608,0.815646,0.815646,5.76354,6.31166,5.76348,5.50036,5.15464,4.97974,4.79457
0.868326,0.836559,0.836559,5.74003,6.28125,5.73528,5.48901,5.1573,4.9672,4.7921
0.877243,0.919628,0.919628,5.64666,6.16043,5.62324,5.44392,5.16788,4.99389,4.78226
0.879518,0.940815,0.940815,5.62285,6.12962,5.61266,5.43242,5.17057,5.0007,4.77976
0.884161,0.984067,0.984067,5.57423,6.06671,5.59104,5.40895,5.17608,5.0146,4.78548
0.892907,1.02072,1.02072,5.48266,5.94823,5.55033,5.36473,5.18645,5.04078,4.79626
0.897378,1.03946,1.03946,5.46705,5.88765,5.52952,5.34212,5.19176,5.05416,4.80177
0.897387,1.03949,1.03949,5.46702,5.88754,5.52954,5.34208,5.19177,5.05419,4.80178
0.8996,1.04877,1.04877,5.45929,5.85754,5.53375,5.33678,5.19439,5.06081,4.80451
0.906524,1.07779,1.07779,5.43512,5.84068,5.54694,5.3202,5.2026,5.08154,4.81304
