x,30degC,100degC
2.07643e-06,0.236386,2.32262
2.2293e-06,0.216252,2.48941
2.33121e-06,0.202829,2.63955
2.48408e-06,0.183947,2.80634
2.58599e-06,0.171359,2.97317
2.73885e-06,0.152476,3.12327
2.84076e-06,0.146842,3.2901
2.99363e-06,0.138391,3.45689
3.04459e-06,0.135574,3.50692
3.1465e-06,0.135503,3.60699
3.29936e-06,0.135397,3.77378
3.45223e-06,0.135291,3.92389
3.6051e-06,0.135184,4.09068
3.75796e-06,0.126733,4.24078
3.91083e-06,0.118282,4.40757
4.06369e-06,0.118175,4.55767
4.21656e-06,0.118069,4.72447
4.36943e-06,0.117963,4.89126
4.47134e-06,0.117892,4.99133
4.52229e-06,0.117857,5.04136
4.67516e-06,0.11775,5.20815
4.82803e-06,0.117644,5.3207
4.87898e-06,0.117608,5.35822
5.03185e-06,0.117502,5.50832
5.23567e-06,0.11736,5.65839
5.43949e-06,0.117219,5.82515
5.5414e-06,0.117148,5.90018
5.64331e-06,0.114693,5.97521
5.84713e-06,0.109782,6.12528
6.05096e-06,0.104872,6.27535
6.25478e-06,0.0999619,6.39537
6.30573e-06,0.0999265,6.42538
6.50955e-06,0.0997847,6.57545
6.61146e-06,0.0997139,6.60041
6.9172e-06,0.0995013,6.6753
7.07006e-06,0.0993949,6.71275
7.32484e-06,0.109649,6.77516
7.47771e-06,0.115801,6.82512
7.68153e-06,0.11566,6.89174
7.83439e-06,0.115553,6.89163
8.03822e-06,0.115412,6.83808
8.08917e-06,0.115376,6.82469
8.34395e-06,0.115199,6.691
8.3949e-06,0.115163,6.6701
8.54777e-06,0.119609,6.60741
8.75159e-06,0.125536,6.57389
8.95541e-06,0.131464,6.46693
9.00637e-06,0.131428,6.44019
9.10828e-06,0.131357,6.27322
9.26115e-06,0.131251,6.10622
9.3121e-06,0.131216,6.03108
9.36306e-06,0.149956,5.95594
9.46497e-06,0.187437,5.78897
9.61783e-06,0.243659,5.62196
9.66879e-06,0.2624,5.55517
9.71975e-06,0.281141,5.57182
9.7707e-06,0.397934,5.58848
9.87261e-06,0.397863,5.62179
9.97452e-06,0.397792,5.73298
1.00255e-05,0.406102,5.78858
1.00764e-05,0.414411,5.93875
1.01783e-05,0.43103,5.93868
1.03312e-05,0.480994,5.93857
1.04331e-05,0.514302,5.99414
1.04841e-05,0.51983,6.02192
1.0586e-05,0.530886,6.13311
1.06369e-05,0.530851,6.18871
1.07898e-05,0.530744,6.33881
1.09427e-05,0.51061,6.5056
1.10446e-05,0.497187,6.60567
1.10955e-05,0.491589,6.65571
1.12484e-05,0.474792,6.8225
1.13503e-05,0.463595,6.89753
1.14522e-05,0.471869,6.97256
1.15541e-05,0.480143,7.0476
1.16561e-05,0.530142,7.12263
1.1758e-05,0.58014,7.18264
1.19108e-05,0.680173,7.27266
1.19618e-05,0.713518,7.29933
1.21146e-05,0.88031,7.37934
1.21656e-05,0.919217,7.406
