x,300K,380K
2.5423e-06,0.0607533,4.69016
2.75381e-06,0.0607533,4.69016
2.96531e-06,0.0607533,4.69016
3.04992e-06,0.0558931,4.78736
3.13452e-06,0.0510328,4.90887
3.17682e-06,0.0486027,4.98177
3.19797e-06,0.0486027,5.01823
3.26142e-06,0.0486027,5.12758
3.34602e-06,0.0486027,5.23694
3.36717e-06,0.0486027,5.25881
3.45178e-06,0.0437424,5.34629
3.53638e-06,0.0388821,5.45565
3.57868e-06,0.036452,5.49939
3.64213e-06,0.036452,5.56501
3.72673e-06,0.036452,5.67436
3.79019e-06,0.036452,5.71689
3.85364e-06,0.036452,5.75942
3.93824e-06,0.036452,5.86877
4.00169e-06,0.036452,5.9271
4.04399e-06,0.0391522,5.96598
4.1709e-06,0.0472526,6.06318
4.19205e-06,0.0486027,6.12394
4.2132e-06,0.0558931,6.18469
4.23435e-06,0.0631835,6.3062
4.27665e-06,0.0777643,6.4034
4.2978e-06,0.0850547,6.37606
4.36125e-06,0.0622722,6.29405
4.46701e-06,0.0243013,6.29405
4.53046e-06,0.0243013,6.29405
4.67851e-06,0.0243013,6.39125
4.80541e-06,0.0243013,6.48846
4.89002e-06,0.0243013,6.56622
4.91117e-06,0.0243013,6.58566
4.95347e-06,0.0243013,6.47631
5.01692e-06,0.0243013,6.3548
5.10152e-06,0.0243013,6.4115
5.14382e-06,0.0243013,6.43985
5.27073e-06,0.0243013,6.52491
5.31303e-06,0.0243013,6.56136
5.39763e-06,0.0243013,6.63426
5.52453e-06,0.0243013,6.71932
5.65144e-06,0.0243013,6.82868
5.73604e-06,0.0243013,6.90644
5.75719e-06,0.0243013,6.92588
5.90525e-06,0.0243013,7.01094
5.94755e-06,0.0243013,7.03929
6.03215e-06,0.0243013,7.09599
6.15905e-06,0.0243013,7.17931
6.1802e-06,0.0255164,7.1932
6.37056e-06,0.036452,7.1932
6.45516e-06,0.036452,7.3147
6.56091e-06,0.036452,7.36678
6.60321e-06,0.0472526,7.38761
6.75127e-06,0.0850547,7.46051
6.92047e-06,0.106656,7.53341
6.94162e-06,0.109356,7.54557
7.06853e-06,0.109356,7.61847
7.15313e-06,0.109356,7.64885
7.23773e-06,0.109356,7.67922
7.36464e-06,0.109356,7.74301
7.40694e-06,0.109356,7.76428
7.55499e-06,0.109356,7.82503
7.57614e-06,0.109356,7.83313
7.74535e-06,0.109356,7.89793
7.78765e-06,0.109356,7.91616
7.91455e-06,0.116646,7.97084
7.99915e-06,0.121507,8.00729
8.08376e-06,0.116646,8.04374
8.21066e-06,0.109356,8.09842
8.25296e-06,0.106656,8.11665
8.40102e-06,0.0972053,8.145
8.44332e-06,0.0972053,8.1531
8.61252e-06,0.0972053,8.1855
8.63367e-06,0.0972053,8.18955
8.80288e-06,0.0972053,8.226
8.82403e-06,0.0972053,8.2336
8.97208e-06,0.114216,8.28676
9.03553e-06,0.121507,8.28676
9.18359e-06,0.130012,8.28676
9.24704e-06,0.133657,8.29486
9.37394e-06,0.133657,8.31106
9.45854e-06,0.133657,8.30134
9.58545e-06,0.133657,8.28676
9.67005e-06,0.133657,8.27055
9.7758e-06,0.120157,8.2503
9.86041e-06,0.109356,8.2449
9.96616e-06,0.109356,8.23815
1.00719e-05,0.109356,8.2503
1.01777e-05,0.121507,8.26245
1.02834e-05,0.133657,8.28946
1.0368e-05,0.133657,8.31106
1.04949e-05,0.133657,8.35662
1.05372e-05,0.128257,8.37181
1.06853e-05,0.109356,8.4356
1.07064e-05,0.106926,8.44471
1.08756e-05,0.0874848,8.51762
1.08968e-05,0.0850547,8.52673
1.10448e-05,0.110571,8.59052
1.11083e-05,0.121507,8.63913
1.11717e-05,0.129607,8.68773
1.12986e-05,0.145808,8.78493
1.14467e-05,0.162819,8.88214
1.15102e-05,0.170109,8.92467
1.15736e-05,0.162009,8.96719
1.17005e-05,0.145808,9.05051
1.17217e-05,0.145808,9.0644
1.18697e-05,0.145808,9.14945
1.1912e-05,0.145808,9.16025
1.20601e-05,0.171324,9.19806
1.21235e-05,0.18226,9.22084
1.22293e-05,0.234334,9.25881
1.22716e-05,0.255164,9.27231
1.24196e-05,0.255164,9.31956
1.24831e-05,0.255164,9.3469
1.25888e-05,0.275415,9.39247
1.26734e-05,0.291616,9.42892
1.2758e-05,0.321993,9.46537
1.28426e-05,0.352369,9.48157
1.29484e-05,0.37262,9.50182
1.3033e-05,0.388821,9.50182
1.31599e-05,0.421223,9.50182
1.32234e-05,0.437424,9.51397
1.33503e-05,0.510328,9.53827
1.33714e-05,0.522479,9.54891
1.3456e-05,0.631835,9.59143
1.35195e-05,0.697448,9.62333
1.35618e-05,0.741191,9.65168
1.36464e-05,0.805994,9.70838
1.36887e-05,0.838396,9.74079
1.37733e-05,0.9032,9.80559
1.38156e-05,0.935601,9.84933
1.3879e-05,0.958384,9.91495
1.39848e-05,0.996355,9.99595
1.40059e-05,1.00176,10.0122
1.41328e-05,1.03416,10.1094
1.41751e-05,1.04496,10.1337
1.42809e-05,1.03888,10.1944
1.43866e-05,1.03281,10.2465
1.44289e-05,1.03767,10.2673
1.45981e-05,1.05711,10.3402
1.47885e-05,1.10571,10.3888
