x,300K,380K
2.54421e-06,3.18408,2.23613
2.54657e-06,3.18394,2.23614
2.71604e-06,3.17413,2.23641
2.75607e-06,3.17631,2.23647
2.90674e-06,3.18452,2.23672
2.96794e-06,3.18753,2.23682
3.01054e-06,3.18963,2.32763
3.05316e-06,3.19173,2.42853
3.09576e-06,3.19382,2.51935
3.11863e-06,3.19495,2.55552
3.15957e-06,3.19934,2.62028
3.2022e-06,3.20392,2.72118
3.2448e-06,3.20849,2.812
3.30861e-06,3.21534,2.91293
3.30936e-06,3.21542,2.91471
3.35123e-06,3.21855,3.01383
3.45726e-06,3.22649,3.05433
3.58484e-06,3.23603,3.27619
3.58494e-06,3.23604,3.27636
3.64872e-06,3.23951,3.36722
3.69135e-06,3.24184,3.46811
3.71278e-06,3.243,3.56898
3.71296e-06,3.24301,3.63956
3.75516e-06,3.24531,3.56905
3.77554e-06,3.24642,3.451
3.77604e-06,3.24645,3.44808
3.79738e-06,3.2475,3.50862
3.81882e-06,3.24855,3.60948
3.86142e-06,3.25065,3.7003
3.92523e-06,3.25379,3.80123
3.98743e-06,3.25685,3.88983
3.98901e-06,3.25693,3.89208
4.03164e-06,3.25926,3.99298
4.11658e-06,3.26389,4.07378
4.17813e-06,3.26724,4.08852
4.20138e-06,3.3168,4.09409
4.22073e-06,3.35805,3.90544
4.22206e-06,3.35758,3.89246
4.22232e-06,3.35749,3.99329
4.243e-06,3.35014,3.79166
4.26368e-06,3.34278,3.59003
4.3054e-06,3.32794,3.80569
4.30661e-06,3.32737,3.81193
4.30686e-06,3.32725,3.91276
4.3283e-06,3.31707,4.01363
4.34974e-06,3.30689,4.11449
4.34999e-06,3.30677,4.21532
4.37143e-06,3.29659,4.31619
4.39286e-06,3.28641,4.41705
4.41121e-06,3.2777,4.49483
4.41428e-06,3.27803,4.50783
4.43571e-06,3.28033,4.6087
4.49948e-06,3.28717,4.68947
4.52091e-06,3.28947,4.79033
4.54235e-06,3.29178,4.8912
4.60194e-06,3.29817,4.97607
4.60614e-06,3.29798,4.98205
4.69096e-06,3.29408,5.01243
4.75467e-06,3.29115,5.07303
4.7756e-06,3.29019,4.97224
4.79629e-06,3.28923,4.77061
4.79654e-06,3.28922,4.87144
4.81378e-06,3.28843,4.70338
4.81722e-06,3.2886,4.66981
4.83758e-06,3.2896,4.3371
4.85939e-06,3.29067,4.58922
4.88038e-06,3.29171,4.50859
4.92321e-06,3.29381,4.69015
4.92346e-06,3.29383,4.79098
4.92371e-06,3.29384,4.89181
4.94515e-06,3.29489,4.99268
4.9454e-06,3.29491,5.09351
4.94565e-06,3.29492,5.19434
