x,RT,40deg,60deg,65deg,67deg,69deg,72deg,75deg,80deg
0.754422,8.04461,8.04461,4.80483,-9.29654,-11.6877,-11.9517,-12.4535,-11.9517,-14.1264
0.758844,8.06691,8.06691,4.72119,-8.99628,-11.2268,-11.4498,-11.8959,-11.4498,-13.4461
0.763265,8.08922,8.08922,4.63755,-8.69603,-10.7658,-10.948,-11.3383,-10.948,-12.7658
0.776531,8.15613,8.15613,4.38662,-7.79525,-9.3829,-9.44238,-9.66543,-9.44238,-10.7249
0.794218,8.24535,8.24535,4.23792,-6.59422,-7.53903,-7.43494,-7.43494,-7.43494,-8.00372
0.798639,8.26766,8.26766,4.20074,-6.29397,-7.07807,-7.0632,-7.0632,-7.0632,-7.32342
0.803061,8.28996,8.28996,4.16357,-5.99371,-6.6171,-6.69145,-6.69145,-6.69145,-6.94424
0.807483,8.31475,8.31475,4.12639,-5.69345,-6.15613,-6.3197,-6.3197,-6.3197,-6.56506
0.816327,8.36431,8.36431,4.05204,-5.09294,-5.2342,-5.65056,-5.65056,-5.65056,-5.80669
0.820748,8.3891,8.3891,4.08922,-4.78625,-4.77323,-5.31599,-5.31599,-5.31599,-5.42751
0.82517,8.41388,8.41388,4.12639,-4.47955,-4.31227,-4.94424,-4.94424,-4.94424,-5.05576
0.834014,8.46344,8.46344,4.20074,-3.86617,-3.86617,-4.20074,-4.20074,-4.20074,-4.31227
0.842857,8.51301,8.51301,4.27509,-3.36431,-3.42007,-3.69888,-3.69888,-3.69888,-3.81041
0.851701,8.53532,8.53532,4.34944,-2.86245,-2.97398,-3.19703,-3.19703,-3.19703,-3.30855
0.856122,8.54647,8.54647,4.38662,-2.63941,-2.75093,-2.99628,-2.99628,-2.99628,-3.10781
0.860544,8.55762,8.55762,4.40892,-2.41636,-2.52788,-2.79554,-2.79554,-2.79554,-2.90706
0.869388,8.57993,8.57993,4.45353,-1.97026,-2.21561,-2.39405,-2.39405,-2.39405,-2.50558
0.87381,8.59108,8.59108,4.47584,-1.76952,-2.05948,-2.19331,-2.19331,-2.19331,-2.30483
0.882653,8.61338,8.61338,4.52045,-1.36803,-1.74721,-1.83643,-1.83643,-1.83643,-1.90335
0.887075,8.62454,8.62454,4.54275,-1.16729,-1.60382,-1.65799,-1.65799,-1.65799,-1.7026
0.891497,8.62454,8.62454,4.56506,-0.966543,-1.46044,-1.47955,-1.47955,-1.47955,-1.50186
0.895918,8.62454,8.62454,4.58736,-0.868959,-1.31705,-1.30112,-1.30112,-1.30112,-1.30112
0.90034,8.62454,8.62454,4.60967,-0.771375,-1.17366,-1.18959,-1.18959,-1.18959,-1.22146
0.913605,8.62454,8.62454,4.68401,-0.478625,-0.743494,-0.855019,-0.855019,-0.855019,-0.982475
0.926871,8.62454,8.62454,4.75836,-0.185874,-0.483271,-0.520446,-0.520446,-0.520446,-0.743494
0.931293,8.62454,8.62454,4.78315,-0.116171,-0.39653,-0.458488,-0.458488,-0.458488,-0.669145
0.940136,8.60223,8.60223,4.83271,0.0232342,-0.223048,-0.334572,-0.334572,-0.334572,-0.520446
0.953401,8.56877,8.56877,4.83271,0.232342,0.0371747,-0.148699,-0.148699,-0.148699,-0.297398
0.962245,8.54647,8.54647,4.83271,0.371747,0.104089,-0.0247831,-0.0247831,-0.0247831,-0.148699
0.966667,8.53532,8.53532,4.83271,0.405204,0.137546,0.0371747,0.0371747,0.0371747,-0.0743494
0.97551,8.51301,8.51301,4.83271,0.472119,0.204461,0.136307,0.136307,0.136307,0.0148699
0.984354,8.46344,8.46344,4.83271,0.539033,0.271375,0.23544,0.23544,0.23544,0.104089
0.997619,8.3891,8.3891,4.83271,0.639405,0.371747,0.384139,0.384139,0.384139,0.237918
1.00646,8.33953,8.33953,4.83271,0.70632,0.421314,0.483271,0.483271,0.483271,0.327138
1.01088,8.31475,8.31475,4.83271,0.718711,0.446097,0.508055,0.508055,0.508055,0.371747
1.01531,8.28996,8.28996,4.83271,0.731103,0.47088,0.532838,0.532838,0.532838,0.39653
1.02857,8.25651,8.25651,4.83271,0.768278,0.545229,0.607187,0.607187,0.607187,0.47088
1.03741,8.2342,8.2342,4.81041,0.793061,0.594796,0.656753,0.656753,0.656753,0.520446
1.04626,8.2119,8.2119,4.7881,0.817844,0.645488,0.70632,0.70632,0.70632,0.570012
1.05068,8.20074,8.20074,4.77695,0.840149,0.670835,0.728625,0.728625,0.728625,0.594796
1.05952,8.17844,8.17844,4.75465,0.884758,0.721528,0.773234,0.773234,0.773234,0.644362
1.07279,8.11152,8.11152,4.72119,0.951673,0.797567,0.840149,0.840149,0.840149,0.718711
1.09048,8.0223,8.0223,4.67658,1.04089,0.898952,0.929368,0.929368,0.929368,0.817844
1.10374,7.95539,7.95539,4.64312,1.10781,0.974992,0.996283,0.996283,0.996283,0.884758
1.11701,7.91822,7.91822,4.60967,1.17472,1.05103,1.0632,1.0632,1.0632,0.951673
